Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/18/22,23-121,GSW,,LAL,W (+14),0,28:11:00,4,15,0.267,2,9,0.222,2,2,1,0,2,2,7,2,0,4,2,12,5.8,1
2,2,10/21/22,23-124,GSW,,DEN,L (-5),0,27:20:00,2,5,0.4,0,2,0,3,4,0.75,0,1,1,7,3,0,4,0,7,8.1,-20
3,3,10/23/22,23-126,GSW,,SAC,W (+5),0,27:03:00,7,14,0.5,3,5,0.6,7,9,0.778,0,0,0,4,1,0,1,2,24,18.2,-18
4,4,10/25/22,23-128,GSW,@,PHO,L (-29),0,27:05:00,6,12,0.5,2,5,0.4,3,4,0.75,0,2,2,5,0,0,1,5,17,11.7,-15
5,5,10/27/22,23-130,GSW,,MIA,W (+13),0,21:21,4,7,0.571,1,4,0.25,2,2,1,0,1,1,7,1,0,2,2,11,11.1,-1
6,6,10/29/22,23-132,GSW,@,CHO,L (-7),0,36:30:00,10,20,0.5,4,11,0.364,0,0,,0,2,2,4,2,1,3,4,24,15.5,2
7,7,10/30/22,23-133,GSW,@,DET,L (-14),1,36:02:00,10,21,0.476,5,13,0.385,5,5,1,1,2,3,4,2,0,3,4,30,20.8,-1
8,8,11/1/22,23-135,GSW,@,MIA,L (-7),0,28:53:00,3,10,0.3,1,7,0.143,2,4,0.5,0,2,2,2,0,0,5,2,9,-1.4,-23
9,9,11/3/22,23-137,GSW,@,ORL,L (-1),0,24:19:00,4,12,0.333,1,5,0.2,2,3,0.667,1,1,2,2,0,0,4,2,11,1.4,-10
10,10,11/4/22,23-138,GSW,@,NOP,L (-9),1,38:24:00,5,18,0.278,3,10,0.3,7,7,1,0,0,0,9,2,0,5,2,20,11.9,-1
11,11,11/7/22,23-141,GSW,,SAC,W (+3),0,21:49,1,4,0.25,0,2,0,0,1,0,1,0,1,3,0,0,3,2,2,-1.8,-11
